session,scan_idx,units,data_id
4,7,7493,232ba7ad384c7b93f58842b51e7e1ef6
5,6,8592,98a58d55e28951a38cc61cfec7d63f76
5,7,8138,6dea1dbe556674b1ebd8f984edd102c0
6,2,8158,45dc6cb6ed757fb223cdfa846060a2bf
6,4,8221,c947b82486ab3d4dfd2972e21ad2ce3b
6,6,7971,54aa25585c44713e66671a63068cc5a6
6,7,7887,748c36efcdb2b94d5a7e587ca3e80005
7,3,8618,cf36b881ec9c3e3aa50986a813ea33d5
7,5,8194,fa774b612d638ec8332e0a2fbdc2ed59
8,5,9941,e75fe99564d314b39e7348e6a9793cc8
9,3,7973,71b64f25a1671f02a589b2dfd3ab0f69
9,4,7855,96c3fdd9b93a2736615d43fee8d0d037
9,6,5130,11e7be67a39d58be8a10202f654af2b3
